ID_scenario,CreatedBy,Department,Created,LastEdit,isActive,isAiUsed,isAiAgentUsed
34,EMPLOYEE_03,Customer support,19/11/2025,19/11/2025,0,0,0
35,EMPLOYEE_03,Customer support,16/10/2025,23/12/2025,0,0,0
36,EMPLOYEE_03,Customer support,20/1/2026,20/1/2026,0,0,0
37,EMPLOYEE_03,Customer support,9/2/2026,9/2/2026,0,0,0
38,EMPLOYEE_03,Customer support,10/12/2025,10/12/2025,0,0,0
39,EMPLOYEE_03,Customer support,19/1/2026,20/1/2026,0,0,0
40,EMPLOYEE_03,Customer support,19/11/2025,19/11/2025,0,0,0
41,EMPLOYEE_03,Customer support,19/11/2025,19/11/2025,0,0,0
42,EMPLOYEE_03,Customer support,5/11/2025,5/11/2025,0,0,0
43,EMPLOYEE_03,Customer support,11/12/2025,11/12/2025,0,0,0
44,EMPLOYEE_03,Customer support,9/12/2025,9/12/2025,0,0,0
45,EMPLOYEE_03,Customer support,24/11/2025,24/11/2025,0,0,0
46,EMPLOYEE_03,Customer support,17/11/2025,17/11/2025,0,0,0
47,EMPLOYEE_03,Customer support,6/2/2026,6/2/2026,0,0,0
48,EMPLOYEE_03,Customer support,20/1/2026,20/1/2026,0,0,0
49,EMPLOYEE_03,Customer support,26/1/2026,26/1/2026,0,0,0
50,EMPLOYEE_03,Customer support,3/10/2025,3/10/2025,0,0,0
51,EMPLOYEE_03,Customer support,8/10/2025,5/11/2025,0,0,0
52,EMPLOYEE_03,Customer support,28/10/2025,30/10/2025,0,0,0
53,EMPLOYEE_03,Customer support,10/10/2025,10/10/2025,0,0,0
54,EMPLOYEE_03,Customer support,15/10/2025,15/10/2025,0,0,0
55,EMPLOYEE_03,Customer support,11/12/2025,20/1/2026,0,0,0
56,EMPLOYEE_03,Customer support,4/2/2026,4/2/2026,0,0,0
57,EMPLOYEE_03,Customer support,10/12/2025,10/12/2025,0,0,0
58,EMPLOYEE_03,Customer support,26/11/2025,26/11/2025,0,0,0
59,EMPLOYEE_03,Customer support,11/12/2025,11/12/2025,0,0,0
60,EMPLOYEE_03,Customer support,13/10/2025,8/12/2025,0,0,0
61,EMPLOYEE_03,Customer support,7/11/2025,7/11/2025,0,0,0
62,EMPLOYEE_03,Customer support,18/12/2025,23/1/2026,0,0,0
63,EMPLOYEE_03,Customer support,7/11/2025,7/11/2025,0,0,0
64,EMPLOYEE_03,Customer support,21/11/2025,4/12/2025,0,0,0
65,EMPLOYEE_03,Customer support,17/11/2025,11/12/2025,0,1,0
66,EMPLOYEE_03,Customer support,7/11/2025,19/12/2025,0,0,0
67,EMPLOYEE_03,Customer support,28/10/2025,28/10/2025,0,0,0
68,EMPLOYEE_03,Customer support,21/10/2025,21/10/2025,0,0,0
69,EMPLOYEE_03,Customer support,5/1/2026,5/1/2026,0,0,0
70,EMPLOYEE_03,Customer support,17/11/2025,9/1/2026,0,1,1
71,EMPLOYEE_03,Customer support,23/10/2025,4/11/2025,1,1,0
72,EMPLOYEE_03,Customer support,23/10/2025,30/10/2025,1,1,0
73,EMPLOYEE_03,Customer support,20/1/2026,21/1/2026,0,0,0
74,EMPLOYEE_03,Customer support,9/12/2025,10/12/2025,1,0,0
75,EMPLOYEE_03,Customer support,3/11/2025,9/12/2025,1,1,0
76,EMPLOYEE_03,Customer support,23/2/2026,23/2/2026,0,0,0
77,EMPLOYEE_03,Customer support,23/10/2025,21/11/2025,1,1,0
78,EMPLOYEE_03,Customer support,12/2/2026,12/2/2026,1,0,0
79,EMPLOYEE_03,Customer support,24/11/2025,27/11/2025,1,0,0
80,EMPLOYEE_03,Customer support,14/10/2025,27/1/2026,1,0,0
81,EMPLOYEE_03,Customer support,25/11/2025,19/12/2025,1,0,0
82,EMPLOYEE_03,Customer support,28/11/2025,17/12/2025,1,1,0
83,EMPLOYEE_03,Customer support,31/10/2025,18/12/2025,1,0,0
84,EMPLOYEE_03,Customer support,19/11/2025,4/2/2026,1,0,0
85,EMPLOYEE_03,Customer support,24/11/2025,16/1/2026,1,0,0
86,EMPLOYEE_03,Customer support,12/11/2025,17/11/2025,1,0,0
87,EMPLOYEE_03,Customer support,23/1/2026,23/1/2026,1,1,0
88,EMPLOYEE_03,Customer support,27/11/2025,23/2/2026,1,1,1
89,EMPLOYEE_03,Customer support,10/10/2025,23/12/2025,1,0,0
90,EMPLOYEE_03,Customer support,27/11/2025,16/2/2026,1,1,0
91,EMPLOYEE_03,Customer support,18/11/2025,16/2/2026,1,1,1
92,EMPLOYEE_03,Customer support,20/11/2025,9/2/2026,1,1,0
93,EMPLOYEE_03,Customer support,6/10/2025,5/12/2025,1,1,0
94,EMPLOYEE_03,Customer support,1/10/2025,16/2/2026,1,1,1
95,EMPLOYEE_03,Customer support,27/11/2025,16/2/2026,1,1,1
96,EMPLOYEE_03,Customer support,5/11/2025,16/2/2026,1,1,1
97,EMPLOYEE_03,Customer support,9/1/2026,9/1/2026,1,0,0
98,EMPLOYEE_03,Customer support,9/10/2025,20/1/2026,1,0,0
99,EMPLOYEE_03,Customer support,16/1/2026,12/2/2026,1,0,0
100,EMPLOYEE_03,Customer support,21/10/2025,11/2/2026,1,0,0
101,EMPLOYEE_03,Customer support,17/11/2025,11/2/2026,1,0,0
102,EMPLOYEE_03,Customer support,27/1/2026,2/2/2026,1,0,0
103,EMPLOYEE_03,Customer support,29/9/2025,1/10/2025,0,0,0
104,EMPLOYEE_03,Customer support,24/2/2026,24/2/2026,0,0,0
105,EMPLOYEE_03,Customer support,24/2/2026,24/2/2026,0,0,0
106,EMPLOYEE_03,Customer support,23/2/2026,23/2/2026,1,0,0
107,EMPLOYEE_03,Customer support,12/1/2026,12/1/2026,0,0,0
108,EMPLOYEE_03,Customer support,30/9/2025,30/9/2025,0,1,0
109,EMPLOYEE_03,Customer support,10/12/2025,10/12/2025,0,0,0
110,EMPLOYEE_03,Customer support,22/10/2025,23/10/2025,0,1,0
111,EMPLOYEE_03,Customer support,17/10/2025,8/12/2025,0,0,0
112,EMPLOYEE_03,Customer support,24/10/2025,24/10/2025,0,0,0
113,EMPLOYEE_03,Customer support,31/10/2025,31/10/2025,0,0,0
114,EMPLOYEE_03,Customer support,24/11/2025,24/11/2025,0,0,0
115,EMPLOYEE_03,Customer support,8/10/2025,8/10/2025,0,1,0
116,EMPLOYEE_03,Customer support,30/10/2025,30/10/2025,0,0,0
117,EMPLOYEE_03,Customer support,31/10/2025,31/10/2025,0,0,0
118,EMPLOYEE_03,Customer support,31/10/2025,31/10/2025,0,0,0
119,EMPLOYEE_03,Customer support,22/10/2025,22/10/2025,0,0,0
120,EMPLOYEE_03,Customer support,22/10/2025,22/10/2025,0,0,0
121,EMPLOYEE_03,Customer support,21/10/2025,21/10/2025,0,0,0
122,EMPLOYEE_03,Customer support,23/10/2025,23/10/2025,0,0,1
123,EMPLOYEE_03,Customer support,15/10/2025,15/10/2025,0,0,0
124,EMPLOYEE_03,Customer support,10/10/2025,10/10/2025,0,0,0
125,EMPLOYEE_03,Customer support,9/10/2025,9/10/2025,0,1,0
126,EMPLOYEE_03,Customer support,9/10/2025,9/10/2025,0,0,0
127,EMPLOYEE_03,Customer support,10/10/2025,10/10/2025,0,0,0
128,EMPLOYEE_03,Customer support,7/10/2025,7/10/2025,0,0,0
129,EMPLOYEE_03,Customer support,2/10/2025,2/10/2025,0,0,0
130,EMPLOYEE_03,Customer support,1/10/2025,8/10/2025,0,0,0
131,EMPLOYEE_03,Customer support,24/9/2025,3/10/2025,1,1,0
132,EMPLOYEE_04,Customer support,16/12/2025,16/12/2025,1,0,0
133,EMPLOYEE_04,Customer support,15/12/2025,16/12/2025,1,1,0
134,EMPLOYEE_04,Customer support,1/12/2025,1/12/2025,0,1,0
135,EMPLOYEE_04,Customer support,15/12/2025,15/12/2025,0,0,0
136,EMPLOYEE_04,Customer support,15/12/2025,15/12/2025,0,0,0
137,EMPLOYEE_04,Customer support,15/12/2025,15/12/2025,0,0,0
138,EMPLOYEE_04,Customer support,4/12/2025,4/12/2025,0,0,0
139,EMPLOYEE_04,Customer support,1/12/2025,1/12/2025,0,1,0
140,EMPLOYEE_04,Customer support,3/12/2025,5/12/2025,0,1,0
141,EMPLOYEE_04,Customer support,2/12/2025,3/12/2025,0,1,0
142,EMPLOYEE_04,Customer support,15/12/2025,15/12/2025,0,0,0
143,EMPLOYEE_04,Customer support,19/11/2025,19/11/2025,0,0,1
144,EMPLOYEE_04,Customer support,19/11/2025,19/11/2025,0,1,0
145,EMPLOYEE_04,Customer support,17/12/2025,17/12/2025,0,0,1
146,EMPLOYEE_04,Customer support,3/12/2025,3/12/2025,0,1,0
147,EMPLOYEE_04,Customer support,10/12/2025,10/12/2025,0,1,1
148,EMPLOYEE_04,Customer support,16/12/2025,16/12/2025,0,0,0
149,EMPLOYEE_04,Customer support,23/2/2026,23/2/2026,0,0,0
150,EMPLOYEE_05,Customer support,25/12/2025,26/2/2026,1,1,0
151,EMPLOYEE_05,Customer support,2/3/2026,2/3/2026,0,1,1
152,EMPLOYEE_06,Customer support,25/12/2025,29/12/2025,1,1,1
153,EMPLOYEE_06,Customer support,2/3/2026,2/3/2026,0,1,1
154,EMPLOYEE_06,Customer support,9/4/2025,9/4/2025,0,0,1
155,EMPLOYEE_07,Customer support,13/10/2025,13/10/2025,0,1,0
156,EMPLOYEE_07,Customer support,13/10/2025,30/10/2025,0,1,0
157,EMPLOYEE_07,Customer support,13/10/2025,13/10/2025,0,1,0
158,EMPLOYEE_07,Customer support,13/10/2025,13/10/2025,0,1,0
159,EMPLOYEE_07,Customer support,20/1/2026,20/1/2026,0,0,0
160,EMPLOYEE_07,Customer support,19/1/2026,19/1/2026,0,0,1
161,EMPLOYEE_07,Customer support,4/11/2025,4/11/2025,0,0,0
162,EMPLOYEE_07,Customer support,21/1/2026,21/1/2026,0,0,0
163,EMPLOYEE_07,Customer support,7/11/2025,7/11/2025,0,0,0
164,EMPLOYEE_07,Customer support,11/11/2025,11/11/2025,0,0,0
165,EMPLOYEE_07,Customer support,21/1/2026,21/1/2026,0,0,0
166,EMPLOYEE_07,Customer support,26/9/2025,30/10/2025,0,0,1
167,EMPLOYEE_07,Customer support,20/1/2026,20/1/2026,0,0,0
168,EMPLOYEE_07,Customer support,8/1/2026,12/1/2026,1,0,1
169,EMPLOYEE_07,Customer support,20/1/2026,20/1/2026,1,0,0
170,EMPLOYEE_07,Customer support,20/1/2026,20/1/2026,1,0,0
171,EMPLOYEE_07,Customer support,17/12/2025,18/12/2025,0,1,0
172,EMPLOYEE_07,Customer support,12/12/2025,12/12/2025,0,0,1
173,EMPLOYEE_07,Customer support,11/12/2025,11/12/2025,0,0,0
174,EMPLOYEE_07,Customer support,10/12/2025,10/12/2025,0,0,0
175,EMPLOYEE_07,Customer support,9/12/2025,9/12/2025,0,1,0
176,EMPLOYEE_07,Customer support,11/12/2025,11/12/2025,0,0,0
177,EMPLOYEE_07,Customer support,9/12/2025,9/12/2025,0,1,0
178,EMPLOYEE_07,Customer support,11/12/2025,11/12/2025,0,0,0
179,EMPLOYEE_07,Customer support,11/12/2025,11/12/2025,0,0,0
180,EMPLOYEE_07,Customer support,10/12/2025,10/12/2025,0,0,0
181,EMPLOYEE_07,Customer support,9/12/2025,10/12/2025,0,0,0
182,EMPLOYEE_07,Customer support,13/10/2025,13/10/2025,0,0,0
183,EMPLOYEE_07,Customer support,25/8/2025,25/8/2025,0,0,0
184,EMPLOYEE_07,Customer support,25/8/2025,25/8/2025,0,0,0
185,EMPLOYEE_08,Customer support,7/1/2026,7/1/2026,0,0,1
186,EMPLOYEE_08,Customer support,12/1/2026,12/1/2026,0,0,0
187,EMPLOYEE_08,Customer support,21/1/2026,22/1/2026,0,0,0
188,EMPLOYEE_08,Customer support,21/1/2026,21/1/2026,0,0,0
189,EMPLOYEE_08,Customer support,2/12/2025,3/12/2025,0,1,0
190,EMPLOYEE_08,Customer support,2/12/2025,3/12/2025,0,1,0
191,EMPLOYEE_08,Customer support,3/12/2025,6/1/2026,0,1,0
192,EMPLOYEE_08,Customer support,21/11/2025,21/11/2025,1,0,0
193,EMPLOYEE_08,Customer support,21/11/2025,21/11/2025,1,0,0
194,EMPLOYEE_08,Customer support,1/12/2025,3/12/2025,1,1,0
195,EMPLOYEE_08,Customer support,10/9/2025,10/9/2025,0,0,0
196,EMPLOYEE_08,Customer support,11/9/2025,11/9/2025,0,0,0
197,EMPLOYEE_08,Customer support,11/9/2025,11/9/2025,0,0,0
198,EMPLOYEE_08,Customer support,12/9/2025,12/9/2025,0,0,0
199,EMPLOYEE_08,Customer support,11/9/2025,11/9/2025,0,0,0
200,EMPLOYEE_08,Customer support,11/9/2025,11/9/2025,0,0,0
201,EMPLOYEE_08,Customer support,12/9/2025,12/9/2025,0,0,0
202,EMPLOYEE_08,Customer support,10/9/2025,10/9/2025,0,0,1
203,EMPLOYEE_08,Customer support,12/9/2025,12/9/2025,0,0,1
204,EMPLOYEE_08,Customer support,1/10/2025,1/10/2025,0,1,0
205,EMPLOYEE_08,Customer support,21/11/2025,21/11/2025,0,0,0
206,EMPLOYEE_08,Customer support,4/12/2025,8/12/2025,0,1,0
207,EMPLOYEE_08,Customer support,26/1/2026,26/1/2026,0,1,0
208,EMPLOYEE_08,Customer support,2/2/2026,2/2/2026,0,0,1
209,EMPLOYEE_08,Customer support,28/1/2026,28/1/2026,0,0,0
210,EMPLOYEE_08,Customer support,9/1/2026,9/1/2026,0,0,0
211,EMPLOYEE_09,Customer support,15/12/2025,24/12/2025,1,0,1
212,EMPLOYEE_09,Customer support,24/12/2025,24/12/2025,1,0,1
213,EMPLOYEE_09,Customer support,4/11/2025,4/11/2025,0,0,0
214,EMPLOYEE_09,Customer support,4/11/2025,4/11/2025,0,0,0
215,EMPLOYEE_09,Customer support,19/11/2025,19/11/2025,0,0,1
216,EMPLOYEE_09,Customer support,15/12/2025,24/12/2025,1,0,0
217,EMPLOYEE_09,Customer support,13/2/2026,13/2/2026,1,0,1
218,EMPLOYEE_09,Customer support,13/2/2026,13/2/2026,1,0,0
219,EMPLOYEE_10,Customer support,3/2/2026,3/2/2026,0,0,0
220,EMPLOYEE_10,Customer support,3/2/2026,3/2/2026,1,0,0
221,EMPLOYEE_10,Customer support,4/2/2026,4/2/2026,0,0,0
222,EMPLOYEE_10,Customer support,3/2/2026,3/2/2026,1,0,0
223,EMPLOYEE_10,Customer support,3/2/2026,3/2/2026,0,0,0
224,EMPLOYEE_10,Customer support,4/2/2026,4/2/2026,1,0,0
225,EMPLOYEE_10,Customer support,4/2/2026,4/2/2026,0,0,0
226,EMPLOYEE_10,Customer support,4/2/2026,4/2/2026,1,0,0
227,EMPLOYEE_10,Customer support,3/2/2026,4/2/2026,0,0,0
228,EMPLOYEE_10,Customer support,5/11/2025,5/11/2025,1,0,0
229,EMPLOYEE_10,Customer support,5/11/2025,5/11/2025,1,0,0
230,EMPLOYEE_10,Customer support,5/11/2025,5/11/2025,1,0,0
231,EMPLOYEE_10,Customer support,5/11/2025,5/11/2025,0,0,0
232,EMPLOYEE_10,Customer support,28/10/2024,29/10/2024,0,0,0
233,EMPLOYEE_10,Customer support,15/1/2025,15/1/2025,0,0,0
234,EMPLOYEE_10,Customer support,21/1/2025,22/1/2025,0,0,0
235,EMPLOYEE_10,Customer support,17/7/2025,17/10/2025,0,0,0
236,EMPLOYEE_10,Customer support,4/11/2025,4/2/2026,1,1,0
237,EMPLOYEE_10,Customer support,22/9/2025,26/9/2025,0,1,0
238,EMPLOYEE_10,Customer support,22/9/2025,26/9/2025,0,1,0
239,EMPLOYEE_10,Customer support,3/10/2025,3/10/2025,0,0,0
240,EMPLOYEE_10,Customer support,11/10/2025,11/10/2025,0,1,0
241,EMPLOYEE_10,Customer support,20/11/2025,17/12/2025,0,1,0
242,EMPLOYEE_10,Customer support,12/9/2025,16/9/2025,1,1,0
243,EMPLOYEE_10,Customer support,1/10/2025,1/10/2025,1,1,0
244,EMPLOYEE_10,Customer support,16/2/2026,16/2/2026,0,0,0
245,EMPLOYEE_10,Customer support,25/2/2026,25/2/2026,0,0,0
246,EMPLOYEE_10,Customer support,31/1/2026,15/2/2026,1,0,1
247,EMPLOYEE_10,Customer support,21/2/2026,21/2/2026,0,0,1
248,EMPLOYEE_10,Customer support,19/11/2025,27/2/2026,1,0,0
249,EMPLOYEE_10,Customer support,14/10/2025,14/10/2025,1,0,0
250,EMPLOYEE_10,Customer support,12/11/2025,12/11/2025,1,0,0
251,EMPLOYEE_10,Customer support,21/8/2025,5/11/2025,0,1,0
252,EMPLOYEE_10,Customer support,31/10/2024,8/11/2024,0,0,0
253,EMPLOYEE_10,Customer support,25/8/2025,2/10/2025,0,0,0
254,EMPLOYEE_10,Customer support,20/12/2024,23/1/2025,0,0,0
255,EMPLOYEE_10,Customer support,13/1/2025,13/1/2025,0,0,0
256,EMPLOYEE_10,Customer support,12/11/2025,12/11/2025,1,0,0
257,EMPLOYEE_10,Customer support,15/10/2025,15/10/2025,0,0,0
258,EMPLOYEE_10,Customer support,2/12/2025,2/12/2025,0,0,0
259,EMPLOYEE_10,Customer support,5/11/2025,5/11/2025,0,0,1
260,EMPLOYEE_10,Customer support,11/10/2025,11/10/2025,0,0,0
261,EMPLOYEE_10,Customer support,19/11/2025,19/11/2025,0,0,0
262,EMPLOYEE_10,Customer support,10/10/2025,10/10/2025,0,0,1
263,EMPLOYEE_10,Customer support,2/12/2025,2/12/2025,0,0,0
264,EMPLOYEE_10,Customer support,28/11/2025,28/11/2025,1,0,0
265,EMPLOYEE_10,Customer support,28/11/2025,28/11/2025,1,0,0
266,EMPLOYEE_10,Customer support,28/11/2025,28/11/2025,1,0,0
267,EMPLOYEE_10,Customer support,28/11/2025,28/11/2025,1,0,0
268,EMPLOYEE_10,Customer support,19/11/2025,27/2/2026,1,0,0
269,EMPLOYEE_10,Customer support,13/11/2025,13/11/2025,1,0,0
270,EMPLOYEE_10,Customer support,9/10/2025,4/11/2025,1,0,0
271,EMPLOYEE_10,Customer support,19/11/2025,27/2/2026,1,0,0
272,EMPLOYEE_10,Customer support,19/11/2025,27/2/2026,1,0,0
273,EMPLOYEE_10,Customer support,1/12/2025,1/12/2025,0,0,0
274,EMPLOYEE_10,Customer support,5/11/2025,5/11/2025,0,0,0
275,EMPLOYEE_10,Customer support,9/10/2025,4/11/2025,0,0,1
276,EMPLOYEE_10,Customer support,1/12/2025,1/12/2025,0,0,0
277,EMPLOYEE_10,Customer support,27/3/2025,27/3/2025,0,0,1
278,EMPLOYEE_10,Customer support,12/3/2025,12/3/2025,0,0,0
279,EMPLOYEE_10,Customer support,25/3/2025,25/3/2025,0,0,0
280,EMPLOYEE_10,Customer support,24/2/2025,24/2/2025,0,0,0
281,EMPLOYEE_10,Customer support,16/1/2026,21/1/2026,0,0,1
282,EMPLOYEE_10,Customer support,16/1/2026,16/1/2026,0,0,1
283,EMPLOYEE_10,Customer support,21/8/2025,21/8/2025,0,0,0
284,EMPLOYEE_10,Customer support,22/1/2025,22/1/2025,0,0,0
285,EMPLOYEE_10,Customer support,4/9/2025,4/9/2025,0,0,0
286,EMPLOYEE_10,Customer support,10/9/2025,11/9/2025,0,1,0
287,EMPLOYEE_10,Customer support,4/12/2025,4/12/2025,0,0,0
288,EMPLOYEE_10,Customer support,26/8/2025,26/8/2025,0,0,0
289,EMPLOYEE_10,Customer support,26/1/2026,26/1/2026,0,0,0
290,EMPLOYEE_10,Customer support,20/8/2025,20/8/2025,0,0,0
291,EMPLOYEE_10,Customer support,26/2/2025,26/2/2025,0,0,0
292,EMPLOYEE_10,Customer support,17/3/2025,17/3/2025,0,0,0
293,EMPLOYEE_10,Customer support,11/8/2025,11/8/2025,0,0,0
294,EMPLOYEE_10,Customer support,17/4/2025,17/4/2025,0,0,0
295,EMPLOYEE_10,Customer support,9/2/2026,9/2/2026,0,0,1
296,EMPLOYEE_10,Customer support,25/2/2025,25/2/2025,0,0,0
297,EMPLOYEE_10,Customer support,12/8/2025,18/8/2025,0,1,0
298,EMPLOYEE_10,Customer support,24/1/2025,24/1/2025,0,0,0
299,EMPLOYEE_10,Customer support,25/2/2025,25/2/2025,0,0,0
300,EMPLOYEE_10,Customer support,11/8/2025,11/8/2025,0,0,0
301,EMPLOYEE_10,Customer support,30/1/2026,30/1/2026,0,0,1
302,EMPLOYEE_10,Customer support,18/9/2025,18/9/2025,0,1,0
303,EMPLOYEE_10,Customer support,25/2/2025,25/2/2025,0,0,0
304,EMPLOYEE_10,Customer support,21/5/2025,21/5/2025,0,1,0
305,EMPLOYEE_10,Customer support,18/7/2025,18/7/2025,0,0,1
306,EMPLOYEE_10,Customer support,9/1/2026,9/1/2026,0,0,1
307,EMPLOYEE_10,Customer support,20/6/2025,20/6/2025,0,0,1
308,EMPLOYEE_10,Customer support,5/12/2025,5/12/2025,0,0,1
309,EMPLOYEE_10,Customer support,12/6/2025,12/6/2025,0,0,0
310,EMPLOYEE_10,Customer support,26/1/2026,28/1/2026,0,0,1
311,EMPLOYEE_10,Customer support,15/7/2025,15/7/2025,0,0,1
312,EMPLOYEE_10,Customer support,23/1/2026,23/1/2026,0,0,0
313,EMPLOYEE_10,Customer support,26/1/2026,26/1/2026,0,0,1
314,EMPLOYEE_10,Customer support,20/8/2025,20/8/2025,0,0,0
315,EMPLOYEE_10,Customer support,12/8/2025,12/8/2025,0,0,0
316,EMPLOYEE_10,Customer support,2/7/2025,2/7/2025,0,0,0
317,EMPLOYEE_10,Customer support,21/1/2026,21/1/2026,0,0,1
318,EMPLOYEE_10,Customer support,8/7/2025,8/7/2025,0,1,0
319,EMPLOYEE_10,Customer support,22/1/2026,22/1/2026,0,1,1
320,EMPLOYEE_10,Customer support,17/12/2025,17/12/2025,0,1,0
321,EMPLOYEE_10,Customer support,8/7/2025,8/7/2025,0,1,0
322,EMPLOYEE_10,Customer support,5/9/2025,5/9/2025,0,1,0
323,EMPLOYEE_10,Customer support,3/10/2025,3/10/2025,0,0,0
324,EMPLOYEE_10,Customer support,4/4/2025,4/4/2025,0,0,0
325,EMPLOYEE_10,Customer support,14/4/2025,14/4/2025,0,0,0
326,EMPLOYEE_10,Customer support,30/3/2025,1/4/2025,0,0,0
327,EMPLOYEE_10,Customer support,22/1/2025,22/1/2025,0,0,0
328,EMPLOYEE_10,Customer support,10/2/2026,10/2/2026,0,1,1
329,EMPLOYEE_10,Customer support,17/3/2025,17/3/2025,0,0,0
330,EMPLOYEE_10,Customer support,20/1/2026,20/1/2026,0,0,1
331,EMPLOYEE_10,Customer support,4/2/2026,4/2/2026,0,0,1
332,EMPLOYEE_10,Customer support,29/1/2026,29/1/2026,0,0,1
333,EMPLOYEE_10,Customer support,26/8/2025,26/8/2025,0,0,0
334,EMPLOYEE_10,Customer support,10/2/2025,10/2/2025,0,0,0
335,EMPLOYEE_10,Customer support,6/3/2026,6/3/2026,0,0,1
336,EMPLOYEE_10,Customer support,19/1/2026,19/1/2026,0,0,1
337,EMPLOYEE_10,Customer support,12/2/2026,12/2/2026,0,0,1
338,EMPLOYEE_10,Customer support,20/1/2026,20/1/2026,0,0,1
339,EMPLOYEE_10,Customer support,1/9/2025,18/9/2025,0,0,0
340,EMPLOYEE_10,Customer support,1/4/2025,2/4/2025,0,0,0
341,EMPLOYEE_10,Customer support,26/9/2025,26/9/2025,0,0,0
342,EMPLOYEE_10,Customer support,10/9/2025,29/9/2025,0,0,0
343,EMPLOYEE_10,Customer support,29/1/2026,29/1/2026,0,1,1
344,EMPLOYEE_10,Customer support,10/11/2025,10/11/2025,0,0,0
345,EMPLOYEE_10,Customer support,22/1/2026,22/1/2026,0,0,0
346,EMPLOYEE_10,Customer support,29/1/2025,29/1/2025,0,0,0
347,EMPLOYEE_10,Customer support,1/4/2025,1/4/2025,0,0,0
348,EMPLOYEE_10,Customer support,5/1/2026,5/1/2026,0,0,0
349,EMPLOYEE_10,Customer support,13/1/2026,13/1/2026,0,0,1
350,EMPLOYEE_10,Customer support,3/11/2025,3/11/2025,0,0,0
351,EMPLOYEE_10,Customer support,3/11/2025,3/11/2025,0,0,0
352,EMPLOYEE_10,Customer support,6/1/2026,6/1/2026,0,0,1
353,EMPLOYEE_10,Customer support,20/1/2026,21/1/2026,0,0,0
354,EMPLOYEE_10,Customer support,6/2/2026,6/2/2026,0,0,1
355,EMPLOYEE_10,Customer support,29/1/2026,16/2/2026,0,0,1
356,EMPLOYEE_10,Customer support,3/11/2025,3/11/2025,0,0,0
357,EMPLOYEE_10,Customer support,20/1/2026,21/1/2026,0,0,0
358,EMPLOYEE_10,Customer support,17/12/2025,17/12/2025,0,0,0
359,EMPLOYEE_10,Customer support,22/1/2026,22/1/2026,0,0,1
360,EMPLOYEE_10,Customer support,17/12/2025,17/12/2025,0,0,0
361,EMPLOYEE_10,Customer support,6/2/2026,9/2/2026,0,0,1
362,EMPLOYEE_10,Customer support,13/1/2026,15/1/2026,0,0,1
363,EMPLOYEE_10,Customer support,13/1/2026,15/1/2026,0,0,1
364,EMPLOYEE_10,Customer support,23/1/2026,23/1/2026,0,0,0
365,EMPLOYEE_10,Customer support,22/1/2026,26/1/2026,0,0,1
